fold,combo_id,min_cluster_size,min_samples,dbcv_score,n_clusters,n_noise_points,f1,precision,recall,auc,auprc,TP,FP,FN,train_time,val_time
4,5,10,300,0.09060143450288977,29,131055,0.004738184910703438,0.0023747906835134723,0.9873417721518988,0.6342400736381575,0.0023720300692500382,78,32767,1,5.231518268585205,0.648604154586792
4,6,10,315,0.14835520903166682,4,55188,0.010936038563925462,0.005499276410998553,0.9620253164556962,0.8312190838137687,0.005392931036132146,76,13744,3,5.240272045135498,0.6498379707336426
4,7,10,325,0.1764702064607698,4,55914,0.010787027180469803,0.005423922352269483,0.9620253164556962,0.8290859591367216,0.005319939017986446,76,13936,3,5.249302387237549,0.6505863666534424
4,8,10,335,0.17098401253866574,3,56555,0.01066442152529292,0.005361930294906166,0.9620253164556962,0.8272878569109094,0.0052599260294700296,76,14098,3,5.251245021820068,0.6518619060516357
4,9,10,350,0.14301424589989103,3,57515,0.010488545404361027,0.005273017414833831,0.9620253164556962,0.8246355030860186,0.0051738209038171765,76,14337,3,5.267045736312866,0.6525735855102539
4,10,25,300,0.09655746433128584,27,128932,0.004819277108433735,0.0024155337400514074,0.9873417721518988,0.6402729820810292,0.0024123134024406356,78,32213,1,5.230785369873047,0.6477010250091553
4,11,25,315,0.14804236749622018,3,55210,0.010926604845086622,0.005494505494505495,0.9620253164556962,0.8310871895929337,0.005388299047206651,76,13756,3,5.237987518310547,0.6499848365783691
4,12,25,325,0.16548920284078297,3,55925,0.010782435979286372,0.0054216007989727494,0.9620253164556962,0.8290194555106044,0.0053176848527293095,76,13942,3,5.245640516281128,0.6509897708892822
4,13,25,335,0.17098401253866574,3,56555,0.01066442152529292,0.005361930294906166,0.9620253164556962,0.8272878569109094,0.0052599260294700296,76,14098,3,5.25100302696228,0.6514501571655273
4,14,25,350,0.14301424589989103,3,57515,0.010488545404361027,0.005273017414833831,0.9620253164556962,0.8246355030860186,0.0051738209038171765,76,14337,3,5.2679338455200195,0.6529207229614258
4,15,50,300,0.1109752340959296,25,128815,0.00482225656877898,0.002417030770660965,0.9873417721518988,0.6404332586025501,0.002413639666545336,78,32193,1,5.232182264328003,0.6479618549346924
4,16,50,315,0.14804236749622018,3,55210,0.010926604845086622,0.005494505494505495,0.9620253164556962,0.8310871895929337,0.005388299047206651,76,13756,3,5.190293073654175,0.6499555110931396
4,17,50,325,0.16548920284078297,3,55925,0.010782435979286372,0.0054216007989727494,0.9620253164556962,0.8290194555106044,0.0053176848527293095,76,13942,3,5.247063398361206,0.6509826183319092
4,18,50,335,0.09856757162227567,23,130925,0.004750304506699147,0.0023808797045267237,0.9873417721518988,0.6347053207631278,0.002376896718138813,78,32683,1,5.250989675521851,0.6507682800292969
4,19,50,350,0.14301424589989103,3,57515,0.010488545404361027,0.005273017414833831,0.9620253164556962,0.8246355030860186,0.0051738209038171765,76,14337,3,5.270163297653198,0.6528973579406738
4,20,75,300,0.093846059026406,23,127730,0.00486284289276808,0.0024374238305052967,0.9873417721518988,0.643073090824197,0.002433023991088602,78,31923,1,5.229978084564209,0.648038387298584
4,21,75,315,0.10193746360075011,23,129518,0.0048048788000123206,0.0024082993701370877,0.9873417721518988,0.6388316064187408,0.0024041636404961014,78,32310,1,5.239313840866089,0.6527087688446045
